Country Name,Series,Time,Value
Switzerland,"Gross enrolment ratio, primary, gender parity index (GPI)",2014,1.00075
Canada,"Gross enrolment ratio, primary, gender parity index (GPI)",2016,1.00086
"Korea, Rep.","Gross enrolment ratio, primary, gender parity index (GPI)",2013,1.00088
"Korea, Rep.","Gross enrolment ratio, primary, gender parity index (GPI)",2010,1.00092
Mexico,"Gross enrolment ratio, primary, gender parity index (GPI)",2016,1.00102
Canada,"Gross enrolment ratio, primary, gender parity index (GPI)",2009,1.0015
United States,"Gross enrolment ratio, primary, gender parity index (GPI)",2008,1.00167
"Korea, Rep.","Gross enrolment ratio, primary, gender parity index (GPI)",2012,1.00183
Norway,"Gross enrolment ratio, primary, gender parity index (GPI)",2011,1.00205
Australia,"Gross enrolment ratio, primary, gender parity index (GPI)",2009,1.00233
"Hong Kong SAR, China","Gross enrolment ratio, primary, gender parity index (GPI)",2012,1.00234
"Korea, Rep.","Gross enrolment ratio, primary, gender parity index (GPI)",2011,1.0024
China,"Gross enrolment ratio, primary, gender parity index (GPI)",2015,1.00246
"Hong Kong SAR, China","Gross enrolment ratio, primary, gender parity index (GPI)",2013,1.00252
Germany,"Gross enrolment ratio, primary, gender parity index (GPI)",2017,1.00257
Norway,"Gross enrolment ratio, primary, gender parity index (GPI)",2008,1.00263
Israel,"Gross enrolment ratio, primary, gender parity index (GPI)",2013,1.00287
Norway,"Gross enrolment ratio, primary, gender parity index (GPI)",2010,1.00307
Norway,"Gross enrolment ratio, primary, gender parity index (GPI)",2009,1.00319
Russian Federation,"Gross enrolment ratio, primary, gender parity index (GPI)",2008,1.00364
United States,"Gross enrolment ratio, primary, gender parity index (GPI)",2009,1.00373
Israel,"Gross enrolment ratio, primary, gender parity index (GPI)",2014,1.00386
United States,"Gross enrolment ratio, primary, gender parity index (GPI)",2011,1.00404
Norway,"Gross enrolment ratio, primary, gender parity index (GPI)",2012,1.00422
Thailand,"Gross enrolment ratio, primary, gender parity index (GPI)",2016,1.00436
Israel,"Gross enrolment ratio, primary, gender parity index (GPI)",2010,1.0044
Israel,"Gross enrolment ratio, primary, gender parity index (GPI)",2012,1.00476
Israel,"Gross enrolment ratio, primary, gender parity index (GPI)",2011,1.00479
Russian Federation,"Gross enrolment ratio, primary, gender parity index (GPI)",2009,1.0048
Mexico,"Gross enrolment ratio, primary, gender parity index (GPI)",2017,1.00491
China,"Gross enrolment ratio, primary, gender parity index (GPI)",2016,1.00509
Canada,"Gross enrolment ratio, primary, gender parity index (GPI)",2010,1.00521
Israel,"Gross enrolment ratio, primary, gender parity index (GPI)",2009,1.00538
Russian Federation,"Gross enrolment ratio, primary, gender parity index (GPI)",2013,1.00546
Malaysia,"Gross enrolment ratio, primary, gender parity index (GPI)",2015,1.00579
Russian Federation,"Gross enrolment ratio, primary, gender parity index (GPI)",2016,1.006
Russian Federation,"Gross enrolment ratio, primary, gender parity index (GPI)",2012,1.00604
Russian Federation,"Gross enrolment ratio, primary, gender parity index (GPI)",2011,1.00615
Mexico,"Gross enrolment ratio, primary, gender parity index (GPI)",2018,1.00622
Australia,"Gross enrolment ratio, primary, gender parity index (GPI)",2008,1.00641
Israel,"Gross enrolment ratio, primary, gender parity index (GPI)",2015,1.00666
Russian Federation,"Gross enrolment ratio, primary, gender parity index (GPI)",2014,1.00672
Israel,"Gross enrolment ratio, primary, gender parity index (GPI)",2008,1.00689
Canada,"Gross enrolment ratio, primary, gender parity index (GPI)",2011,1.00714
Germany,"Gross enrolment ratio, primary, gender parity index (GPI)",2018,1.00722
Malaysia,"Gross enrolment ratio, primary, gender parity index (GPI)",2014,1.00747
Russian Federation,"Gross enrolment ratio, primary, gender parity index (GPI)",2015,1.00792
Malaysia,"Gross enrolment ratio, primary, gender parity index (GPI)",2008,1.00804
Canada,"Gross enrolment ratio, primary, gender parity index (GPI)",2015,1.00807
Israel,"Gross enrolment ratio, primary, gender parity index (GPI)",2018,1.00878
Malaysia,"Gross enrolment ratio, primary, gender parity index (GPI)",2009,1.00883
Malaysia,"Gross enrolment ratio, primary, gender parity index (GPI)",2010,1.00883
"Hong Kong SAR, China","Gross enrolment ratio, primary, gender parity index (GPI)",2014,1.00891
Israel,"Gross enrolment ratio, primary, gender parity index (GPI)",2017,1.00901
Israel,"Gross enrolment ratio, primary, gender parity index (GPI)",2016,1.00916
Malaysia,"Gross enrolment ratio, primary, gender parity index (GPI)",2013,1.00918
China,"Gross enrolment ratio, primary, gender parity index (GPI)",2017,1.00948
Malaysia,"Gross enrolment ratio, primary, gender parity index (GPI)",2012,1.01021
Canada,"Gross enrolment ratio, primary, gender parity index (GPI)",2012,1.01077
Malaysia,"Gross enrolment ratio, primary, gender parity index (GPI)",2011,1.01077
Canada,"Gross enrolment ratio, primary, gender parity index (GPI)",2013,1.01116
Spain,"Gross enrolment ratio, primary, gender parity index (GPI)",2013,1.01124
China,"Gross enrolment ratio, primary, gender parity index (GPI)",2018,1.01135
China,"Gross enrolment ratio, primary, gender parity index (GPI)",2019,1.01172
Canada,"Gross enrolment ratio, primary, gender parity index (GPI)",2014,1.01199
Malaysia,"Gross enrolment ratio, primary, gender parity index (GPI)",2016,1.01251
Spain,"Gross enrolment ratio, primary, gender parity index (GPI)",2014,1.01324
Malaysia,"Gross enrolment ratio, primary, gender parity index (GPI)",2017,1.01329
Sweden,"Gross enrolment ratio, primary, gender parity index (GPI)",2017,1.01348
Spain,"Gross enrolment ratio, primary, gender parity index (GPI)",2018,1.01366
Thailand,"Gross enrolment ratio, primary, gender parity index (GPI)",2014,1.0155
Spain,"Gross enrolment ratio, primary, gender parity index (GPI)",2015,1.01552
Spain,"Gross enrolment ratio, primary, gender parity index (GPI)",2016,1.01657
Spain,"Gross enrolment ratio, primary, gender parity index (GPI)",2017,1.01662
"Hong Kong SAR, China","Gross enrolment ratio, primary, gender parity index (GPI)",2015,1.01762
Sweden,"Gross enrolment ratio, primary, gender parity index (GPI)",2018,1.01764
India,"Gross enrolment ratio, primary, gender parity index (GPI)",2019,1.01958
India,"Gross enrolment ratio, primary, gender parity index (GPI)",2008,1.01991
Sweden,"Gross enrolment ratio, primary, gender parity index (GPI)",2016,1.02604
India,"Gross enrolment ratio, primary, gender parity index (GPI)",2010,1.02797
"Hong Kong SAR, China","Gross enrolment ratio, primary, gender parity index (GPI)",2016,1.03004
India,"Gross enrolment ratio, primary, gender parity index (GPI)",2009,1.03223
Indonesia,"Gross enrolment ratio, primary, gender parity index (GPI)",2010,1.03271
India,"Gross enrolment ratio, primary, gender parity index (GPI)",2011,1.03525
Indonesia,"Gross enrolment ratio, primary, gender parity index (GPI)",2011,1.03633
India,"Gross enrolment ratio, primary, gender parity index (GPI)",2012,1.03883
"Hong Kong SAR, China","Gross enrolment ratio, primary, gender parity index (GPI)",2017,1.04121
Sweden,"Gross enrolment ratio, primary, gender parity index (GPI)",2015,1.04178
"Hong Kong SAR, China","Gross enrolment ratio, primary, gender parity index (GPI)",2018,1.04478
"Hong Kong SAR, China","Gross enrolment ratio, primary, gender parity index (GPI)",2019,1.04911
Sweden,"Gross enrolment ratio, primary, gender parity index (GPI)",2014,1.05586
Sweden,"Gross enrolment ratio, primary, gender parity index (GPI)",2013,1.05919
India,"Gross enrolment ratio, primary, gender parity index (GPI)",2014,1.11393
India,"Gross enrolment ratio, primary, gender parity index (GPI)",2015,1.11618
India,"Gross enrolment ratio, primary, gender parity index (GPI)",2013,1.11811
India,"Gross enrolment ratio, primary, gender parity index (GPI)",2017,1.14725
India,"Gross enrolment ratio, primary, gender parity index (GPI)",2016,1.16104
Norway,"Out-of-school children of primary school age, both sexes (number)",2018,2
Philippines,Government expenditure on education as % of GDP (%),2009,2.53777
Philippines,Government expenditure on education as % of GDP (%),2008,2.58283
Singapore,Government expenditure on education as % of GDP (%),2008,2.7646
Indonesia,Government expenditure on education as % of GDP (%),2010,2.81228
Singapore,Government expenditure on education as % of GDP (%),2013,2.85435
Indonesia,Government expenditure on education as % of GDP (%),2008,2.9019
Japan,"Share of youth not in education, employment, or training, total (% of youth population)",2018,2.940000057
Singapore,Government expenditure on education as % of GDP (%),2009,3.01013
Singapore,Government expenditure on education as % of GDP (%),2011,3.03077
Singapore,Government expenditure on education as % of GDP (%),2012,3.07086
Singapore,Government expenditure on education as % of GDP (%),2010,3.08044
Japan,Government expenditure on education as % of GDP (%),2017,3.18218
Japan,Government expenditure on education as % of GDP (%),2016,3.18618
Indonesia,Government expenditure on education as % of GDP (%),2011,3.18944
"Hong Kong SAR, China",Government expenditure on education as % of GDP (%),2008,3.26063
"Hong Kong SAR, China",Government expenditure on education as % of GDP (%),2015,3.26212
Japan,"Share of youth not in education, employment, or training, total (% of youth population)",2017,3.269999981
India,Government expenditure on education as % of GDP (%),2009,3.27825
Indonesia,Government expenditure on education as % of GDP (%),2014,3.28801
"Hong Kong SAR, China",Government expenditure on education as % of GDP (%),2016,3.29265
"Hong Kong SAR, China",Government expenditure on education as % of GDP (%),2017,3.3101
Japan,Government expenditure on education as % of GDP (%),2008,3.31915
"Hong Kong SAR, China",Government expenditure on education as % of GDP (%),2018,3.32652
Indonesia,Government expenditure on education as % of GDP (%),2013,3.35904
India,Government expenditure on education as % of GDP (%),2010,3.37769
Indonesia,Government expenditure on education as % of GDP (%),2012,3.40748
"Hong Kong SAR, China",Government expenditure on education as % of GDP (%),2011,3.41822
Thailand,Government expenditure on education as % of GDP (%),2010,3.50844
Thailand,Government expenditure on education as % of GDP (%),2008,3.5085
"Hong Kong SAR, China",Government expenditure on education as % of GDP (%),2012,3.50961
"Hong Kong SAR, China",Government expenditure on education as % of GDP (%),2010,3.51003
Japan,"Share of youth not in education, employment, or training, total (% of youth population)",2016,3.519999981
Indonesia,Government expenditure on education as % of GDP (%),2009,3.52513
"Hong Kong SAR, China",Government expenditure on education as % of GDP (%),2014,3.57255
Indonesia,Government expenditure on education as % of GDP (%),2015,3.5836
Japan,Government expenditure on education as % of GDP (%),2014,3.59059
Japan,"Share of youth not in education, employment, or training, total (% of youth population)",2015,3.609999895
Singapore,"Share of youth not in education, employment, or training, total (% of youth population)",2012,3.630000114
Japan,Government expenditure on education as % of GDP (%),2010,3.6395
Japan,Government expenditure on education as % of GDP (%),2011,3.64258
Japan,Government expenditure on education as % of GDP (%),2013,3.66538
Japan,"Share of youth not in education, employment, or training, total (% of youth population)",2014,3.690000057
Japan,Government expenditure on education as % of GDP (%),2012,3.69226
Singapore,"Share of youth not in education, employment, or training, total (% of youth population)",2014,3.710000038
Singapore,"Share of youth not in education, employment, or training, total (% of youth population)",2015,3.720000029
"Hong Kong SAR, China",Government expenditure on education as % of GDP (%),2013,3.76032
Russian Federation,Government expenditure on education as % of GDP (%),2016,3.76044
Russian Federation,Government expenditure on education as % of GDP (%),2013,3.76383
Singapore,"Share of youth not in education, employment, or training, total (% of youth population)",2013,3.779999971
Russian Federation,Government expenditure on education as % of GDP (%),2012,3.7931
India,Government expenditure on education as % of GDP (%),2011,3.79618
"Hong Kong SAR, China",Government expenditure on education as % of GDP (%),2019,3.81058
Italy,Government expenditure on education as % of GDP (%),2016,3.81579
Russian Federation,Government expenditure on education as % of GDP (%),2015,3.83403
India,Government expenditure on education as % of GDP (%),2013,3.84467
Thailand,Government expenditure on education as % of GDP (%),2009,3.86194
India,Government expenditure on education as % of GDP (%),2012,3.8675
Japan,"Share of youth not in education, employment, or training, total (% of youth population)",2013,3.910000086
Singapore,"Share of youth not in education, employment, or training, total (% of youth population)",2016,3.950000048
Malaysia,Government expenditure on education as % of GDP (%),2008,3.95852
Russian Federation,Government expenditure on education as % of GDP (%),2014,4.01388
Italy,Government expenditure on education as % of GDP (%),2017,4.04494
Italy,Government expenditure on education as % of GDP (%),2012,4.05602
Italy,Government expenditure on education as % of GDP (%),2014,4.06128
Italy,Government expenditure on education as % of GDP (%),2015,4.07363
Russian Federation,Government expenditure on education as % of GDP (%),2008,4.10175
Italy,Government expenditure on education as % of GDP (%),2011,4.11568
Thailand,Government expenditure on education as % of GDP (%),2013,4.12402
Norway,"Share of youth not in education, employment, or training, total (% of youth population)",2008,4.130000114
Singapore,"Share of youth not in education, employment, or training, total (% of youth population)",2018,4.139999866
Italy,Government expenditure on education as % of GDP (%),2013,4.14367
Malaysia,Government expenditure on education as % of GDP (%),2019,4.16319
Spain,Government expenditure on education as % of GDP (%),2017,4.20774
Japan,"Share of youth not in education, employment, or training, total (% of youth population)",2012,4.210000038
Spain,Government expenditure on education as % of GDP (%),2016,4.22764
Spain,Government expenditure on education as % of GDP (%),2015,4.28657
Japan,"Share of youth not in education, employment, or training, total (% of youth population)",2010,4.289999962
Singapore,"Share of youth not in education, employment, or training, total (% of youth population)",2017,4.289999962
Spain,Government expenditure on education as % of GDP (%),2014,4.30338
"Korea, Rep.",Government expenditure on education as % of GDP (%),2016,4.3331
Italy,Government expenditure on education as % of GDP (%),2010,4.33412
Spain,Government expenditure on education as % of GDP (%),2013,4.35102
Japan,"Share of youth not in education, employment, or training, total (% of youth population)",2009,4.360000134
Italy,Government expenditure on education as % of GDP (%),2008,4.38795
"Hong Kong SAR, China",Government expenditure on education as % of GDP (%),2009,4.39213
Germany,Government expenditure on education as % of GDP (%),2008,4.43595
Spain,Government expenditure on education as % of GDP (%),2012,4.46934
Malaysia,Government expenditure on education as % of GDP (%),2018,4.48126
Mexico,Government expenditure on education as % of GDP (%),2017,4.52282
Italy,Government expenditure on education as % of GDP (%),2009,4.52372
Spain,Government expenditure on education as % of GDP (%),2008,4.52806
Thailand,Government expenditure on education as % of GDP (%),2012,4.53671
Norway,"Share of youth not in education, employment, or training, total (% of youth population)",2017,4.590000153
Australia,Government expenditure on education as % of GDP (%),2008,4.63776
Canada,Government expenditure on education as % of GDP (%),2008,4.63826
Malaysia,Government expenditure on education as % of GDP (%),2017,4.67757
Russian Federation,Government expenditure on education as % of GDP (%),2017,4.68991
Mexico,Government expenditure on education as % of GDP (%),2013,4.69605
Malaysia,Government expenditure on education as % of GDP (%),2016,4.75191
Thailand,Government expenditure on education as % of GDP (%),2011,4.80555
Mexico,Government expenditure on education as % of GDP (%),2008,4.82007
Germany,Government expenditure on education as % of GDP (%),2011,4.82487
Germany,Government expenditure on education as % of GDP (%),2015,4.83498
Germany,Government expenditure on education as % of GDP (%),2016,4.84022
Norway,"Share of youth not in education, employment, or training, total (% of youth population)",2018,4.849999905
Canada,Government expenditure on education as % of GDP (%),2009,4.85264
Spain,Government expenditure on education as % of GDP (%),2010,4.85608
Switzerland,Government expenditure on education as % of GDP (%),2008,4.86799
Australia,Government expenditure on education as % of GDP (%),2012,4.869
United Kingdom,Government expenditure on education as % of GDP (%),2008,4.89331
Malaysia,Government expenditure on education as % of GDP (%),2015,4.89487
Spain,Government expenditure on education as % of GDP (%),2011,4.89692
Norway,"Share of youth not in education, employment, or training, total (% of youth population)",2010,4.900000095
Germany,Government expenditure on education as % of GDP (%),2017,4.90512
Mexico,Government expenditure on education as % of GDP (%),2016,4.90949
Germany,Government expenditure on education as % of GDP (%),2009,4.90951
Spain,Government expenditure on education as % of GDP (%),2009,4.912
Switzerland,Government expenditure on education as % of GDP (%),2010,4.92605
United States,Government expenditure on education as % of GDP (%),2013,4.93105
Germany,Government expenditure on education as % of GDP (%),2014,4.93962
Germany,Government expenditure on education as % of GDP (%),2010,4.94368
Germany,Government expenditure on education as % of GDP (%),2012,4.95658
Germany,Government expenditure on education as % of GDP (%),2013,4.96111
United States,Government expenditure on education as % of GDP (%),2014,4.96174
Malaysia,Government expenditure on education as % of GDP (%),2010,4.96645
Switzerland,Government expenditure on education as % of GDP (%),2011,4.96986
Norway,"Share of youth not in education, employment, or training, total (% of youth population)",2009,5
Norway,"Share of youth not in education, employment, or training, total (% of youth population)",2015,5.03000021
